msg.cui.vmdberror.invalidPath	路径无效
msg.cui.vmdberror.fileNotFound	找不到文件
msg.cui.deviceMgr.numCPUFormat	%zd 个 CPU 核心
msg.cui.deviceMgr.cdDVD	CD/DVD
msg.cui.deviceMgr.cdDVDFormat	%zd 个 CD/DVD
msg.cui.deviceMgr.floppy	软盘
msg.cui.deviceMgr.floppiesFormat	%zd 个软盘
msg.cui.deviceMgr.usb	USB 控制器
msg.cui.deviceMgr.usbsFormat	%zd 个 USB 控制器
msg.cui.deviceMgr.parallel	并行端口
msg.cui.deviceMgr.parallelsFormat	%zd 个并行端口
msg.cui.deviceMgr.printer	打印机
msg.cui.deviceMgr.serial	串行端口
msg.cui.deviceMgr.serialsFormat	%zd 个串行端口
msg.cui.deviceMgr.audio	声卡
msg.cui.deviceMgr.genericSCSI	通用 SCSI
msg.cui.deviceMgr.genericSCSIFormat	%zd 个通用 SCSI
msg.cui.deviceMgr.none	无
msg.cui.filter.AllFiles	所有文件
msg.cui.filter.AllDirectories	所有文件夹
msg.cui.filter.VMs	虚拟机 (*.vmx)
msg.cui.filter.LegacyVMs	旧版虚拟机 (*.cfg)
msg.cui.filter.OVFs	开放虚拟化格式虚拟机 (*.ovf, *.ova)
msg.cui.filter.XmlVMs	虚拟机元数据文件 (*.vmxf)
msg.cui.filter.Teams	工作组 (*.vmtm)
msg.cui.filter.Snapshots	快照 (*.vmsn)
msg.cui.filter.Disks	虚拟磁盘 (*.vmdk)
msg.cui.filter.ISOImages	ISO 映像 (*.iso)
msg.cui.filter.OutputFiles	输出文件 (*.txt)
msg.cui.filter.FloppyImages	软盘映像 (*.flp, *.img)
msg.cui.filter.MovieAVI	AVI 影片 (*.avi)
msg.cui.filter.ImagePNG	PNG 文件 (*.png)
msg.cui.filter.ImageJPEG	JPEG 文件 (*.jpg, *.jpeg)
msg.cui.filter.ImageGIF	GIF 文件 (*.gif)
msg.cui.filter.ImageBMP	BMP 文件 (*.bmp)
msg.cui.filter.AllImages	所有图像文件
msg.cui.filter.VMsAndTeams	虚拟机和工作组
msg.cui.filter.VMsAndOVFs	虚拟机 (*.vmx, *.ovf, *.ova)
msg.cui.vmUploader.noDatacenter	所选文件夹必须位于数据中心内。
msg.cui.vmCnx.notConnectedFmt	未连接到 %s。
msg.cui.vmPanic.windows	%s 遇到错误并已关闭 Windows。单击“重新启动 Windows”再次启动 Windows。单击“报告”以收集数据并向 VMware 请求支持。
msg.cui.vmPanic.other	%s 遇到错误并已关闭虚拟机。单击“重新启动”再次启动虚拟机。单击“报告”以收集数据并向 VMware 请求支持。
msg.cui.vm.exclusiveMode.enterError	无法进入独占模式：%s。
msg.cui.vm.exclusiveMode.exitError	无法退出独占模式：%s。
msg.cui.VM.toggleRemDevError	切换可移动设备时出错：%s
msg.cui.vm.product.expired	此产品已过期，无法打开虚拟机电源。\n请确保主机的日期和时间设置正确。\n\n%s 网站上提供了较新版本：“%s”
msg.cui.vm.license.expired	您的许可证已过期。必须拥有有效许可证才能打开虚拟机电源。
msg.cui.VM.error.snapshotNotFound	找不到快照。所选快照可能已被其他用户删除。
msg.cui.VM.error.snapshotRawDisk	具有原始磁盘的虚拟机无法使用快照。
msg.cui.VM.error.snapshotIndepPower	虚拟机运行或挂起时，无法对具有独立磁盘的虚拟机拍摄快照。
msg.cui.VM.error.snapshotReadOnly	无法对只读虚拟机拍摄快照。
msg.cui.VM.error.cloneRawDisk	无法克隆具有物理磁盘的虚拟机。
msg.cui.VM.error.cloneLegacy	无法克隆 Workstation 4.x 虚拟机。
msg.cui.VM.error.cloneIndepDisk	无法对具有独立磁盘的虚拟机或快照创建链接克隆。
