msg.lui.inventory.actions.rename.tooltip	重命名此项
msg.lui.inventory.actions.rename	重命名(_A)...
msg.lui.inventory.actions.remove.tooltip	移除此项
msg.lui.inventory.actions.remove	移除(_O)
msg.lui.inventory.actions.newFolder.tooltip	创建新文件夹
msg.lui.inventory.actions.newFolder	新建文件夹(_D)
msg.lui.inventory.actions.expand.tooltip	展开此文件夹
msg.lui.inventory.actions.expand	展开(_E)
msg.lui.inventory.actions.collapse.tooltip	折叠此文件夹
msg.lui.inventory.actions.collapse	折叠(_C)
msg.lui.wizard.shareVM.vmName.lengthWarning	虚拟机名称长度不能超过 %d 个字符。
msg.lui.aboutDlg.error.missingSupportScript	在此系统上找不到 vmware-collect-host-support-info 脚本。将不会收集支持数据。
msg.lui.error.unknown	发生未知错误
msg.lui.dlgViewCertificate.title	查看证书
msg.lui.dlgCertificateCheck.alwaysTrust	始终信任使用此证书的主机(_A)
msg.lui.dlgCertificateCheck.title	安全证书无效
msg.lui.dlgCertificateCheck.header	您要连接的服务器提供的安全证书存在以下问题：
msg.lui.dlgCertificateCheck.footer	要忽略这些问题并继续吗？
msg.lui.softwareUpdates	软件更新
msg.lui.downloadProgress.details	详细信息(_D)
msg.lui.downloadProgress.serverServer	更新服务器：
msg.lui.downloadProgress.serverProxy	代理服务器：
msg.lui.downloadProgress.serverStatus	连接状态：
msg.lui.downloadPrompt	软件更新
msg.lui.downloadPrompt.request	可以下载以下软件：
msg.lui.downloadPrompt.version.format	%s 版本 %s
msg.lui.dlgDownloadPrompt.learnMore	了解详情
msg.lui.downloadPrompt.cont	要执行什么操作？
msg.lui.downloadProxyPrompt.save	保存用户名和密码(_S)
msg.lui.downloadProxyPrompt	软件更新
msg.lui.downloadProxyPrompt.request.credentialsFailed	输入的代理凭据不正确。\n\n请输入代理凭据，以便 %s 检查更新并下载组件。
msg.lui.downloadProxyPrompt.request	请输入代理凭据，以便 %s 检查更新并下载组件。
msg.lui.downloadProxyPrompt.proxy	代理：
msg.lui.dlgDownloadProxyPrompt.no_proxy	(无)
msg.lui.downloadProxyPrompt.username	用户名(_U)：
msg.lui.downloadProxyPrompt.password	密码(_P)：
msg.lui.dlgPassword.title.setPassword	设置密码
msg.lui.inventorybrowser.title	选择库节点
msg.lui.dlgPassword.title.enterPassword	输入密码
msg.lui.dlgPassword.title.changePassword	更改密码
msg.lui.downloadJobMgr.showDialog	查看下载(_D)
msg.lui.downloadJobMgr.hideDialog	隐藏下载(_D)
msg.lui.downloadJobMgr.shutdown.cantQuit	仍在下载时无法退出。请取消所有下载，然后重试。
msg.lui.downloadVMDlg.title	下载虚拟机
