msg.vmui.linux.actions.toolsUnavailable	VMware Tools 不可用
msg.vmui.linux.actions.toolsUnavailable.tooltip	此客户机的 VMware 客户机工具不可用
msg.vmui.linux.actions.installTools	安装 VMware Tools(_T)...
msg.vmui.linux.actions.installTools.tooltip	安装 VMware 客户机工具
msg.vmui.linux.actions.startingTools	（正在启动 VMware Tools 安装）
msg.vmui.linux.actions.startingTools.tooltip	VMware 客户机工具安装正在启动
msg.vmui.linux.actions.cancelToolsInstall	取消 VMware Tools 安装(_T)
msg.vmui.linux.actions.cancelToolsInstall.tooltip	取消 VMware 客户机工具安装
msg.vmui.linux.actions.stoppingTools	（正在停止 VMware Tools 安装）
msg.vmui.linux.actions.stoppingTools.tooltip	VMware 客户机工具安装正在停止
msg.vmui.linux.disconnect.accel	断开连接(_C)
msg.vmui.linux.connect.accel	连接(_C)
msg.vmui.linux.settingsEllipsis.accel	设置(_S)...
msg.vmui.linux.host	主机
msg.vmui.linux.connectionTime	连接时间
msg.vmui.linux.idleTime	空闲时间
msg.vmui.linux.vpmc.accel	虚拟化 CPU 性能计数器(_P)
msg.vmui.linux.cpu.vIOMMU	虚拟化 IO_MMU（IO 内存管理单元）
msg.vmui.linux.advanced	高级
msg.vmui.linux.firmwareChangeWarningVTPMExists	存在 TPM 设备时无法更改固件。
msg.vmui.linux.firmwareChangeWarning	更改固件可能会导致已安装的客户机操作系统无法启动。
msg.vmui.linux.templateModeOnDisableWarning	此虚拟机以前已被标记为用于克隆的模板。移除此选项可能会使从此虚拟机创建的链接克隆无法使用。
msg.vmui.linux.settings	设置
msg.vmui.linux.gatherDebuggingInformationColon.accel	收集调试信息(_R)：
msg.vmui.linux.memoryPageTrimming.accel	允许内存页修剪(_M)
msg.vmui.linux.logVirtualMachine.accel	定期记录虚拟机进度(_L)
msg.vmui.linux.enableTemplateMode.accel	将此虚拟机用作链接克隆模板(_T)
msg.vmui.linux.verboseUSBLogging.accel	收集详细的 USB 调试信息(_U)
msg.vmui.linux.enableVBS.accel	启用 VBS（基于虚拟化的安全）支持(_V)
msg.vmui.linux.firmwareType	固件类型
msg.vmui.linux.fileLocations	文件位置
msg.vmui.linux.configurationColon	配置：
msg.vmui.linux.logColon	日志：
msg.vmui.linux.noLogFile	（未开机）
msg.vmui.linux.metadata	元数据
msg.vmui.linux.applianceView.summaryFmt	端口：%u
msg.vmui.linux.unknownDate	（未知）
msg.vmui.linux.versionColon.accel	版本(_V)：
msg.vmui.linux.authorColon.accel	作者(_A)：
msg.vmui.linux.accessPort	虚拟机内的虚拟设备访问端口(_P)：
msg.vmui.linux.createdAt	创建时间(_C)：
msg.vmui.linux.createHour	小时(_H)
msg.vmui.linux.createMinute	分钟(_M)
msg.vmui.linux.enableAutoProtect.accel	启用自动保护(_E)
msg.vmui.linux.autoProtectInterval.accel	自动保护间隔(_I)：
msg.vmui.linux.autoProtectMaximum.accel	最大自动保护快照数(_M)：
msg.vmui.linux.autoprotect.notSupported	%s 虚拟机不支持自动保护。
msg.vmui.linux.advancedCdromOptions	CD/DVD 高级设置
msg.vmui.linux.troubleshooting	疑难解答
msg.vmui.linux.diskDefragmentationPeriod	磁盘碎片整理完成。
msg.vmui.linux.diskSpaceIsPreallocatedPeriod	此虚拟磁盘的磁盘空间已预分配。
msg.vmui.linux.diskSpaceIsNotPreallocatedPeriod	此虚拟磁盘的磁盘空间未预分配。
msg.vmui.linux.virtualDisk.singleFile	虚拟磁盘内容存储在单个文件中。
msg.vmui.linux.virtualDisk.multipleFiles	虚拟磁盘内容存储在多个文件中。
msg.vmui.linux.diskExpandDlg.done	磁盘已成功扩展。现在需要在客户机操作系统内部重新分区并扩展文件系统。
msg.vmui.linux.unableToRetrieveDisk	无法检索磁盘信息：%s
msg.vmui.linux.couldNotLaunchFuseMountUI	无法启动虚拟磁盘挂载配置工具。\n\n%s
msg.vmui.linux.mountDisk.accel	挂载磁盘(_M)...
msg.vmui.linux.unmountDisk.accel	卸载磁盘(_U)...
msg.vmui.linux.expandDisk.accel	扩展磁盘(_X)...
msg.vmui.linux.compactDisk.accel	压缩磁盘(_T)...
msg.vmui.linux.defragDisk.accel	磁盘碎片整理(_F)...
msg.vmui.linux.mountVirtualDisk.explanation	在主机上挂载虚拟磁盘。
msg.vmui.linux.unmountVirtualDisk.explanation	从主机卸载虚拟磁盘。
msg.vmui.linux.defragDiskExplanation	整理文件碎片并合并可用空间。
msg.vmui.linux.compactDiskExplanation	压缩磁盘以回收未使用的空间。
msg.vmui.linux.expandDiskExplanation	扩展磁盘容量。
msg.vmui.linux.hardDisk.mount.encrypted	虚拟机处于加密状态时无法挂载此虚拟磁盘。
msg.vmui.linux.mode	模式
msg.vmui.linux.persistent.accel	持久(_P)
msg.vmui.linux.undoableAskToSave.accel	可撤销：关闭电源后询问是否保存更改(_U)
msg.vmui.linux.nonpersistentDiscard.accel	非持久：关闭电源后放弃更改(_N)
msg.vmui.linux.independent.accel	独立(_I)
msg.vmui.linux.independentDisksArePeriod	独立磁盘不受快照影响。
msg.vmui.linux.changesAreImmediatelyPeriod	更改会立即永久写入磁盘。
msg.vmui.linux.changesToThisDiskPeriod	关闭电源或还原快照时将放弃对此磁盘的更改。
msg.vmui.linux.nonpersistent.accel	非持久(_N)
msg.vmui.linux.advancedHardDiskOptions	硬盘高级设置
msg.vmui.linux.other	其他
msg.vmui.linux.enableWriteCaching.accel	启用写入缓存(_E)
msg.vmui.linux.capacity	容量
msg.vmui.linux.vmsettings.disk.utilities	磁盘工具
msg.vmui.linux.diskFile	磁盘文件
msg.vmui.linux.currentSizeColon	当前大小：
msg.vmui.linux.0Mb	0 MB
msg.vmui.linux.maximumSizeColon	最大大小：
msg.vmui.linux.systemFreeColon	系统可用空间：
msg.vmui.linux.diskInformation	磁盘信息
